epoch,train_total,train_distance,train_collision,validation_total,validation_distance,validation_collision
1,0.5390051330838884,0.4320542559027672,0.5347543631281172,0.20582433144251505,0.13340004185835522,0.36212144096692406
2,0.1611432875905718,0.09986938312649726,0.30636951540197643,0.11391759912172954,0.06122136314709981,0.26348116993904114
3,0.09766558877059392,0.05040262016866889,0.23631483955042704,0.08429361482461294,0.03974700818459193,0.2227330247561137
4,0.07221621509109225,0.0325581001916102,0.1982905685901642,0.07040200680494309,0.031354642411073046,0.19523682097593945
5,0.0637146733701229,0.028982436710170336,0.17366118005343845,0.06401076565186183,0.031213734298944473,0.16398515502611796
6,0.050640641365732465,0.021155211515724658,0.14742714826549802,0.052688851952552795,0.02424273422608773,0.14223058819770812
7,0.04462868172143187,0.020184541174343654,0.12222070140498024,0.05850143482287725,0.033885703732570015,0.1230786566932996
8,0.03850441367498466,0.016262281792504447,0.11121065765619279,0.04280116260051727,0.021236032185455164,0.10782564878463745
9,0.032383915835193226,0.013111218144851071,0.09636348752038819,0.035969694207112,0.016754381048182648,0.09607656747102737
10,0.02872255588216441,0.011741467565298081,0.08490543961524963,0.032805440947413445,0.01502593963717421,0.08889750391244888
11,0.028357215225696564,0.011492640006222896,0.08432287520595959,0.03435455337166786,0.015105678141117096,0.09624437391757965
12,0.028162727930716107,0.010609442248408284,0.08776642669524465,0.03188193862636884,0.015656691727538904,0.081126236418883
13,0.025723384799701828,0.010207830090075731,0.07757777220436506,0.03106060065329075,0.01657284681374828,0.07243876854578654
14,0.022333711758255957,0.008603797001498086,0.06864957325160503,0.028590402627984682,0.013470115854094427,0.07560143222411474
15,0.021512429948363984,0.007703552375148449,0.0690443861165217,0.027473802616198858,0.013204634748399257,0.07134583542744319
16,0.020625155977904798,0.007058212473722441,0.06783471613058022,0.03185318137208621,0.014315899647772311,0.0876864085594813
17,0.022618938011250325,0.008545986044087581,0.07036475842552525,0.039989085495471956,0.0227066686997811,0.08641208658615748
18,0.021248505982969488,0.008256300944568855,0.06496102416089602,0.03680750032265981,0.013707183642933767,0.11550158088405928
19,0.022447743639349937,0.007108163427827613,0.07669789841664688,0.02500794306397438,0.012136554159224034,0.064356945703427
20,0.01915354457284723,0.005759874984089817,0.06696834691933223,0.024350964898864427,0.012543913473685582,0.05903525501489639
